DRUGS_ID;“ËÔ;202101001;202101002;202101003;202101004;202101005;202101006
;QUANTITY;3101,790813;3507,124292;3612,700576;3651,068438;3995,410841;3297,359364
256964;VOLUME;1409842,201;987240,7029;781863,4215;748771,2194;806138,8632;768246,2113
;QUANTITY;5604,841365;4011,837021;2346,926791;2502,34574;2844,808858;2607,586875
256966;VOLUME;312,3009;132,535;546,539913;2851,116248;818,1195051;2718,055213
;QUANTITY;1,9276;1,0009;3,455693871;17,14151519;4,980370116;15,70280581
256967;VOLUME;1536,456112;412,7163206;;;;526,952306
;QUANTITY;14,61706809;4,351676942;;;;3,33326197
256968;VOLUME;4677,533904;2016,979002;;;;
;QUANTITY;33,15952528;15,09949302;;;;
256969;VOLUME;;;;;97,1261;
;QUANTITY;;;;;1,0461;
256970;VOLUME;633,016189;291,024178;;;;
;QUANTITY;6,616186537;2,97867653;;;;
256971;VOLUME;594876,0653;178455,8035;157452,426;278949,0557;485256,0565;247026,9509
;QUANTITY;1082,473289;376,1441101;367,6787649;600,0149087;906,6537213;513,1948942
256972;VOLUME;1150,315414;1013,141368;898,8933834;925,0170238;1430,178849;845,8878992
;QUANTITY;7,2072;6,0174;6,0276;5,7156;9,522064547;5,84156766
256974;VOLUME;1828,14542;10610,08842;11562,80754;11253,44045;5538,389136;4193,779694
;QUANTITY;5,153878342;41,37649716;48,68309608;43,10169324;21,74967587;20,80411964
256975;VOLUME;553249,1517;442290,0404;318411,8602;230238,8237;333354,338;99446,78232
;QUANTITY;3698,437833;2976,350541;2139,526212;1568,818004;2199,764357;697,668978
256976;VOLUME;85190,23473;98871,86145;99803,43267;87229,23201;82219,33528;54709,46696
;QUANTITY;212,8598176;262,9273972;241,144422;226,6623038;227,9209074;145,5207773
258407;VOLUME;8009128,422;10301439,65;12966945,11;12208323,88;9314120,297;10117231,82
;QUANTITY;9470,648675;11358,26928;15152,02817;14529,65756;11841,92248;11704,88227
258408;VOLUME;1959124,814;2552519,429;2456585,111;1867282,742;1854934,836;2156415,924
;QUANTITY;1323,752835;1704,381278;1411,375111;1885,476184;2063,640432;2488,063827
258413;VOLUME;3185,173873;570,751317;1429,113293;;;5,080919814
;QUANTITY;31,55395822;5,949;17,17183807;;;0,9635
267678;VOLUME;17196,90261;13340,59061;30115,4165;;;
;QUANTITY;12,92054095;15,18759509;22,41677554;;;
267679;VOLUME;4989,5027;17404,05235;5054,964798;167724,0276;111129,6092;171737,3004
